number;meta_object|Район;name;ОЛ|ОД|Объект|Наименование;П|ОД|Наименование|i;П|ОД|Наименование|ii;П|ОД|Наименование|iii;ОЛ|ОД|Объект|Полное наименование;П|ОД|Полное наименование|i;П|ОД|Полное наименование|ii;П|ОД|Полное наименование|iii;address;ОЛ|ОД|Объект|Адрес;meta_object|Учащихся;ОЛ|ОД|Объект|Учащихся;ОЛ|ОД|Объект|Классов;ОЛ|ОД|Объект|Этажей;П|ОД|Подписант|Должность;П|ОД|Подписант|ФИО;П|ВКС|Отсутствует;П|ВКС|Производитель;П|ВКС|Модель;П|ЛВС|Список;ОЛ|Интернет|Провайдер|0|Наименование;ОЛ|Интернет|Провайдер|0|Тип;ОЛ|Интернет|Провайдер|0|Скорость;ОЛ|Интернет|Провайдер|1|Наименование;ОЛ|Интернет|Провайдер|1|Тип;ОЛ|Интернет|Провайдер|1|Скорость;ОЛ|ОД|Объект|Планы|0|Скан;ОЛ|ОД|Объект|Планы|0|Этаж;ОЛ|ОД|Объект|Планы|1|Скан;ОЛ|ОД|Объект|Планы|1|Этаж;ОЛ|ОД|Объект|Планы|2|Скан;ОЛ|ОД|Объект|Планы|2|Этаж;ОЛ|ОД|Объект|Планы|3|Скан;ОЛ|ОД|Объект|Планы|3|Этаж;ОЛ|ОД|Объект|Планы|4|Скан;ОЛ|ОД|Объект|Планы|4|Этаж;ОЛ|ОД|Объект|Планы|5|Скан;ОЛ|ОД|Объект|Планы|5|Этаж;ОЛ|ОД|Объект|Планы|6|Скан;ОЛ|ОД|Объект|Планы|6|Этаж;ОЛ|ОД|Объект|Планы|7|Скан;ОЛ|ОД|Объект|Планы|7|Этаж;ОЛ|ОД|Объект|Планы|8|Скан;ОЛ|ОД|Объект|Планы|8|Этаж;ОЛ|ОД|Объект|Планы|9|Скан;ОЛ|ОД|Объект|Планы|9|Этаж;ОЛ|ОД|Объект|Планы|10|Скан;ОЛ|ОД|Объект|Планы|10|Этаж;ОЛ|ОД|Объект|Планы|11|Скан;ОЛ|ОД|Объект|Планы|11|Этаж;ОЛ|ОД|Объект|Планы|12|Скан;ОЛ|ОД|Объект|Планы|12|Этаж;ОЛ|ОД|Объект|Планы|13|Скан;ОЛ|ОД|Объект|Планы|13|Этаж;ОЛ|ОД|Объект|Планы|14|Скан;ОЛ|ОД|Объект|Планы|14|Этаж;ОЛ|ОД|Объект|Планы|15|Скан;ОЛ|ОД|Объект|Планы|15|Этаж
281;Острогожский;МКОУ Солдатская СОШ;МКОУ Солдатская СОШ;МКОУ Солдатская СОШ;МКОУ Солдатской СОШ;МКОУ Солдатской СОШ;муниципальное казенное общеобразовательное учреждение Солдатская средняя общеобразовательная школа;Муниципальное казенное общеобразовательное учреждение Солдатская средняя общеобразовательная школа;Муниципального казённого общеобразовательного учреждения Солдатская средняя общеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Солдатская средняя общеобразовательная школа;397822, Воронежская обл. Острогожский район, с. Солдатское, ул. Ленина д.24а;397822, Воронежская обл. Острогожский район, с. Солдатское, ул. Ленина д.24а;92;82;10;1;Директор;Просвирина Н. И.;1;;;\item Маршрутизатор с Wi-Fi D-Link DES-1016A -- 1~шт. \item Коммутатор Zyxel Keenetic Lite -- 1~шт. ;Мегафон;Радиоканал;3;-;-;-;1_61031_5bdc062acdba1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
269;Ольховатский;МКОУ Бугаёвская ООШ ;МКОУ Бугаёвская ООШ ;МКОУ Бугаёвская ООШ;МКОУ Бугаёвской ООШ;МКОУ Бугаёвской ООШ;Муниципальное казенное общеобразовательное учреждение Бугаевская основная обшеобразовательная школа;Муниципальное казенное общеобразовательное учреждение Бугаевская основная обшеобразовательная школа;Муниципального казённого общеобразовательного учреждения Бугаевская основная обшеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Бугаевская основная обшеобразовательная школа;396689, Воронежская область, Ольховатский район, пос. Бугаёвка, ул. Победы, д. 38;396689, Воронежская область, Ольховатский район, пос. Бугаёвка, ул. Победы, д. 38;86;85;8;1;Директор;Левинсон Н. В.;1;;;\item Маршрутизатор с Wi-Fi ZTE ZXHN H118N -- 1~шт. ;ПАО "Ростелеком";Оптический кабель;10;-;-;-;1_20675_5b953b8963ae9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
416;Семилукский;МКОУ Маловерейская ООШ Семилукского муниципального района Воронежской области;МКОУ Маловерейская ООШ Семилукского муниципального района Воронежской области;МКОУ Маловерейская ООШ Семилукского муниципального района Воронежской области;МКОУ Маловерейской ООШ Семилукского муниципального района Воронежской области;МКОУ Маловерейской ООШ Семилукского муниципального района Воронежской области;Муниципальное казённое общеобразовательное учреждение Маловерейская основная общеобразовательная школа Семилукского муниципального района Воронежской области;Муниципальное казённое общеобразовательное учреждение Маловерейская основная общеобразовательная школа Семилукского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Маловерейская основная общеобразовательная школа Семилукского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Маловерейская основная общеобразовательная школа Семилукского муниципального района Воронежской области;Российская Федерация, 396925, Воронежская область, Семилукский район, село Малая Верейка, ул. Колхозная, д. 1;Российская Федерация, 396925, Воронежская область, Семилукский район, село Малая Верейка, ул. Колхозная, д. 1;46;46;10;2;Директор;Сухов С. Н.;1;;;\item Маршрутизатор без Wi-Fi Zyxel P-600 -- 1~шт. ;ПАО "Ростелеком";DSL модем;10;-;-;-;1_38374_5ba0ea1f8f3c6;1;1_38398_5ba0ea38ba9ee;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
298;Павловский;МКОУ Елизаветовская СОШ;МКОУ Елизаветовская СОШ;МКОУ Елизаветовская СОШ;МКОУ Елизаветовской СОШ;МКОУ Елизаветовской СОШ;Муниципальное казенное общеобразовательное учреждение Елизаветовская средняя общеобразовательная школа Павловского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Елизаветовская средняя общеобразовательная школа Павловского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Елизаветовская средняя общеобразовательная школа Павловского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Елизаветовская средняя общеобразовательная школа Павловского муниципального района Воронежской области;396446, Воронежская обл., Павловский район, с. Елизаветовка, просп. Революции, д. 67;396446, Воронежская обл., Павловский район, с. Елизаветовка, просп. Революции, д. 67;207;209;-;2;Директор;Сиденко С. Н.;1;;;\item Маршрутизатор без Wi-Fi D-Link 1008D -- 1~шт. \item Маршрутизатор без Wi-Fi D-Link DAP-2360A1 -- 1~шт. \item Маршрутизатор без Wi-Fi D-Link DES1008D -- 1~шт. \item модем роутер TP-Link TD-W8968 -- 1~шт. \item т.доступа Wi-Fi TP-Link TL-WR841ND -- 1~шт. ;ПАО "Ростелеком";DSL модем;1;-;-;-;1_33219_5b9bac4867988;1;1_33249_5b9bac6f757f2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
249;Новохоперский;МОУ Елань-Коленовская СОШ №1;МОУ Елань-Коленовская СОШ №1;МОУ Елань-Коленовская СОШ №1;;;Муниципальное общеобразовательное учреждение Новохоперского муниципального района Воронежской области "Елань-Коленовская средняя общеобразовательная школа №1";Муниципальное общеобразовательное учреждение Новохоперского муниципального района Воронежской области "Елань-Коленовская средняя общеобразовательная школа №1";;;397420, Воронежская обл., Новохоперский район, с. Елань-Колено, просп. Революции, д. 10;397420, Воронежская обл., Новохоперский район, с. Елань-Колено, просп. Революции, д. 10;392;383;19;3;Директор ;Камерова Е. А.;1;;;\item Маршрутизатор с Wi-Fi TP-Link TL-WR741ND -- 1~шт. ;ПАО "Ростелеком";PPPoE;3;-;-;-;1_41880_5ba2572056c2a;2;1_41832_5ba2563c93f11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
90;Верхнемамонский;МКОУ Приреченская ООШ;МКОУ Приреченская ООШ;МКОУ Приреченская ООШ;МКОУ Приреченской ООШ;МКОУ Приреченской ООШ;Муниципальное казенное общеобразовательное учреждение «Приреченская основная общеобразовательная школа Верхнемамонского  муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение «Приреченская основная общеобразовательная школа Верхнемамонского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения «Приреченская основная общеобразовательная школа Верхнемамонского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению «Приреченская основная общеобразовательная школа Верхнемамонского муниципального района Воронежской области;Российская Федерация, Воронежская область, Верхнемамонский район, Воронежская область, р-н. Верхнемамонский, с. Приречное, ул. Ленина, д. 81;Российская Федерация, Воронежская область, Верхнемамонский район, Воронежская область, р-н. Верхнемамонский, с. Приречное, ул. Ленина, д. 81;32;29;9;1;Директор;Гридина Е. М.;1;;;\item Маршрутизатор с Wi-Fi TP-Link TD-W8960N -- 1~шт. ;ПАО "Ростелеком";PPPoE;1;-;-;-;1_51054_5baa376b20312;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
670;Коминтерновский;МБОУ СОШ  №98;МБОУ СОШ  №98;МБОУ СОШ №98;МБОУ СОШ №98;МБОУ СОШ №98;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 98;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 98;Муниципального бюджетного общеобразовательного учреждения средняя общеобразовательная школа № 98;Муниципальному бюджетному общеобразовательному учреждению средняя общеобразовательная школа № 98;394019, г. Воронеж, ул. 9 Января, д. 290;394019, г. Воронеж, ул. 9 Января, д. 290;1583;1700;43;4;Директор;Павлова Г. А.;1;;;\item Медиаконвертер D-Link DMC-920T -- 1~шт. \item Коммутатор Hewlett-Packard 1410-16G J9560A -- 1~шт. \item Маршрутизатор с Wi-Fi Mikrotik RB2011iLS-IN -- 1~шт. \item Точка доступа Wi-Fi Ubiquiti UniFi AP -- 6~шт. \item Точка доступа Wi-Fi Ubiquiti Unifi AP -- 1~шт. ;WiFire, NetByNet, Puzzle (Нэт Бай Нэт);Оптический кабель;80;-;-;-;1_47366_5ba7c62407a41;1;1_47389_5ba7c632dcb88;2;1_47390_5ba7c64015363;3;1_47391_5ba7c64f91a25;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
28;Бобровский ;МКОУ Чесменская СОШ;МКОУ Чесменская СОШ;МКОУ Чесменская СОШ;МКОУ Чесменской СОШ;МКОУ Чесменской СОШ;Муниципальное казенное общеобразовательное учреждение Чесменская средняя общеобразовательная школа;Муниципальное казенное общеобразовательное учреждение Чесменская средняя общеобразовательная школа;Муниципального казённого общеобразовательного учреждения Чесменская средняя общеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Чесменская средняя общеобразовательная школа;397733, Воронежская обл., Бобровский район, с. Чесменка, ул. Советская, д. 66;397733, Воронежская обл., Бобровский район, с. Чесменка, ул. Советская, д. 66;81;73;13;2;Директор школы;Самодуров Н. И.;1;;;\item Точка доступа Wi-Fi ASUS DSL - N-10 -- 1~шт. \item Маршрутизатор с Wi-Fi Zyxel P-600 -- 1~шт. ;ПАО "Ростелеком";DSL модем;3;-;-;-;1_33917_5b9f3dac85f49;1;1_33940_5b9f3dd215c46;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
689;Левобережный;МБОУ СОШ № 2;МБОУ СОШ № 2;МБОУ СОШ № 2;МБОУ СОШ № 2;МБОУ СОШ № 2;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа  № 2;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 2;Муниципального бюджетного общеобразовательного учреждения средняя общеобразовательная школа № 2;Муниципальному бюджетному общеобразовательному учреждению средняя общеобразовательная школа № 2;394074, г. Воронеж, ул. Танеева, д.4;394074, г. Воронеж, ул. Танеева, д.4;647;680;-;4;Директор;Гостилов Ю. Н.;1;;;\item Коммутатор ASUS ASUS FX-D1161 -- 1~шт. ;ПАО "Ростелеком";Оптический кабель до здания школы;4;-;-;-;1_47062_5ba52203e602c;1;1_47085_5ba5221d4f3f1;2;1_47086_5ba5225a25dc4;3;1_47087_5ba522a0e9adb;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
285;Острогожский;МКОУ Покровская СОШ;МКОУ Покровская СОШ;МКОУ Покровская СОШ;МКОУ Покровской СОШ;МКОУ Покровской СОШ;Муниципальное казенное общеобразовательное учреждение Покровская средняя общеобразовательная школа;Муниципальное казенное общеобразовательное учреждение Покровская средняя общеобразовательная школа;Муниципального казённого общеобразовательного учреждения Покровская средняя общеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Покровская средняя общеобразовательная школа;397813, Воронежская обл., Острогожский район, с. Покровка, ул. Молодежная, д. 40;397813, Воронежская обл., Острогожский район, с. Покровка, ул. Молодежная, д. 40;125;140;18;2;Директор;Трофимова Н. И.;1;;;\item роутер D-Link DIR-632 -- 1~шт. \item Модем D-Link DSL-2540U -- 1~шт. \item роутер TP-Link TL-WR841N -- 1~шт. ;ПАО "Ростелеком";DSL модем;3;-;-;-;1_62065_5bdc47c47ce18;1;1_62117_5bdc47e6eebce;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
